ID,Z_ToC_masl,Z_PC,X,Y,Falda,Date_meas,GW_Depth_m,GW_masl
PIEZ9,108.030000000000001,,1519692.199999999720603,5031265.809999999590218,Prima_Falda,settembre-19,8.190000000000000,99.840000000000003
PIEZM1,108.040000000000006,,1519488.810000000055879,5031536.980000000447035,Prima_Falda,settembre-19,7.570000000000000,100.469999999999999
PIEZM2,107.159999999999997,,1519570.860000000102445,5031480.509999999776483,Prima_Falda,settembre-19,6.830000000000000,100.329999999999998
PIEZM3,106.939999999999998,,1519821.370000000111759,5031233.549999999813735,Prima_Falda,settembre-19,7.190000000000000,99.750000000000000
PIEZM5,104.829999999999998,,1519751.160000000149012,5031137.440000000409782,Prima_Falda,settembre-19,5.250000000000000,99.579999999999998
PIEZM6,105.069999999999993,,1519691.000000000000000,5031066.080000000074506,Prima_Falda,settembre-19,5.570000000000000,99.500000000000000
PIEZM7,106.310000000000002,,1519648.879999999888241,5031430.250000000931323,Prima_Falda,settembre-19,6.100000000000000,100.209999999999994
PIEZM8,106.489999999999995,,1519761.850000000093132,5031308.650000000372529,Prima_Falda,settembre-19,6.660000000000000,99.829999999999998
PP_202,107.969999999999999,,1519314.749999999767169,5032032.519999999552965,Prima_Falda,settembre-19,7.000000000000000,100.969999999999999
PZ18,107.230000000000004,,1519210.519999999785796,5031205.259999999776483,Prima_Falda,settembre-19,6.320000000000000,100.909999999999997
PZ20,106.469999999999999,,1518930.989999999990687,5031088.849999999627471,Prima_Falda,settembre-19,7.070000000000000,99.400000000000006
PZ4,105.790000000000006,,1519167.979999999981374,5031832.849999999627471,Prima_Falda,settembre-19,5.020000000000000,100.769999999999996
PZ7,106.980000000000004,,1520094.179999999934807,5031967.730000000447035,Prima_Falda,settembre-19,6.160000000000000,100.819999999999993
PZB,106.769999999999996,,1519732.260000000009313,5032302.980000000447035,Prima_Falda,settembre-19,5.530000000000000,101.239999999999995
PZP1_BIS,107.409999999999997,,1519217.069999999832362,5031984.549999999813735,Prima_Falda,settembre-19,6.520000000000000,100.890000000000001
Pz1,107.400000000000006,,1517609.000000000000000,5031038.000000000000000,Prima_Falda,settembre-19,6.730000000000000,100.670000000000002
MM29,110.870000000000005,,1516713.000000000000000,5032443.000000000000000,Prima_Falda,settembre-19,9.430000000000000,101.439999999999998
MM35,105.370000000000005,,1519415.969999999972060,5030741.089999999850988,Prima_Falda,settembre-19,5.690000000000000,99.680000000000007
MMS27,109.670000000000002,,1519217.050000000046566,5034290.190000000409782,Prima_Falda,settembre-19,6.550000000000000,103.120000000000005
MM97,110.170000000000002,,1517977.459999999962747,5032952.120000000111759,Prima_Falda,settembre-19,8.539999999999999,101.629999999999995
MM57,113.299999999999997,,1517603.999999999767169,5033970.000000000000000,Prima_Falda,settembre-19,10.820000000000000,102.480000000000004
MM94,109.409999999999997,,1516288.800000000046566,5030322.700000000186265,Prima_Falda,settembre-19,8.289999999999999,101.120000000000005
MM164,100.599999999999994,,1521510.000000000000000,5029751.000000000000000,Prima_Falda,settembre-19,3.630000000000000,96.969999999999999
MM32,108.230000000000004,,1518066.000000000000000,5031555.000000000000000,Prima_Falda,settembre-19,6.970000000000000,101.260000000000005
MM26,114.260000000000005,,1515534.199999999953434,5033515.099999999627471,Prima_Falda,settembre-19,12.289999999999999,101.969999999999999
MM91,112.640000000000001,,1514369.000000000000000,5032229.000000000000000,Prima_Falda,settembre-19,10.720000000000001,101.920000000000002
PZ_IEO,105.200000000000003,,1516463.000000000000000,5029025.000000000000000,Prima_Falda,settembre-19,5.210000000000000,99.989999999999995
PZ_ALER,106.390000000000001,,1519018.000000000000000,5031166.000000000000000,Prima_Falda,settembre-19,6.180000000000000,100.209999999999994
PROF_22,107.150000000000006,,1519116.000000000232831,5031199.000000000000000,Prima_Falda,settembre-19,6.870000000000000,100.280000000000001
Sp1_PzEst,107.359999999999999,,1518726.719999999972060,5031350.139999999664724,Prima_Falda,settembre-19,6.940000000000000,100.420000000000002
